company,job_title,company_rating,job_description,location,salary_avg_estimate,salary_estimate_payperiod,company_size,company_founded,employment_type,industry,sector,revenue,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating
Infosys,Data Scientist,3.8,"Industry knowledge- Knows basic principles of industry lexicon, competitor landscape, sub-verticals and related best practices in order to provide suggestions for specific functional processes. Basic understanding of industry standards to document current customer compliance and gaps. Functional/Process knowledge- Shows the basic understanding of processes in relevant functional areas (such as Telecom – Fulfillment, Assurance, Workforce Management, Billing etc.) in order to Document or guide documentation of simple as-is customer processes Appreciate the context of customer requirements from specific engagements Ability to suggest Analytics algorithms to use based on business situation mindful of fundamental assumptions in the algorithms; OR Work with other data scientists as a team to understand algorithms suggested and provide QA in algorithm choice from a business perspective Align our deliverables to customer requirements, provide business acumen to avoid apparently bookish or theoretical output Ability to converse with customers on rationale for an approach taken, pros and cons, etc. Responsible for successful delivery of Advanced Analytics solutions and services in client consulting environments; experience in optimization (linear, mixed integer, constraint programming), simulation, and/or predictive analytics using AAO tools, such as SAS or SPSS and other Tools R and Python. Define key business problems to be solved; formulate mathematical approaches and gather data to solve those problems, develop, analyze/draw conclusions and present to client. Assist clients in identifying type of analytics and management data that will directly relate to improving clients' market share or any other measure client is addressing. Identify the differentiators, map them to present-day environment, and then design an improvement plan. Discover new opportunities to optimize the business through analytics and statistical modeling. Oversee all aspects of analytics and business intelligence projects if necessary.
Domain / Technical /Tools / Platform / FrameWorks - Knowledge: Preferred Proficiency with statistical analysis tools (e.g., SAS, SPSS, R & Python) Hands on experience in Statistical Techniques & Deep Learning such as Decision Tree, Segmentation, Logistic and Multiple Regression, and others Experience of Forecasting, Campaign Management and Customer Segmentation is desirable Strong Excel, Access and PowerPoint skills Familiarity with database query tools (SQL) Basic understanding of data warehouse architecture Understanding of various Analytical Tools, Platform & Frameworks.
Analytical ability- Looks at data from multiple sources and integrates data/inputs in a manner to build cause effect linkages to arrive at key issues. Uses understanding of the problem to arrive at multiple solution alternatives keeping in mind the various stakeholders and assess the pros and cons of all the alternatives to arrive at the optimal solution Business acumen- Understands the linkages of metrics and end objectives to key business drivers and aligns team efforts to deliver on it. Demonstrates basic understanding of business financial parameters and is aware of business value impact of activities and decisions taken by him/her and team. High Impact Communication- Assesses the target audience need, prepares and practices a logical flow, answers audience questions appropriately and sticks to timeline.
Analytics->Data Science",Bengaluru,539530.5,/yr (est.),10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.8,3.0,4.0,3.5,3.7
Toolyt,Data Analyst,4.8,"We are looking for a passionate certified Data Analyst. The successful candidate will turn data into information, information into insight and insight into business decisions.

Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will also monitor performance and quality control plans to identify improvements.

Responsibilities:
Interpret data, analyze results using statistical techniques and provide ongoing reports
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintain databases/data systems
Identify, analyze, and interpret trends or patterns in complex data sets
Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems
Work with management to prioritize business and information needs
Locate and define new process improvement opportunities
Requirements:
Proven working experience as a data analyst
Bachelors degree in Computer science, Maths or statistics
Analyze and organize raw data
Build data systems and pipelines
Evaluate business needs and objectives
Interpret trends and patterns
Conduct complex data analysis and report on results
Hands on experience with SQL database design (advanced)",Jaipur,40000.0,/mo (est.),1 to 50 Employees,1995,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.9,4.6,4.9,4.9,4.6
Wesco,India-Bangalore: Analyst - Data Governance,3.7,"As an Analyst - Data Governance, you are responsible for hands-on execution and maintenance of our master data and for enforcing policies and processes around data attributes. You will be part of a business-enabling team that performs day-to-day activities around maintaining master data of customer, supplier and product domains. Additionally, you will work with business owners and data management team to help troubleshoot data issues.
Responsibilities:
Monitors, validates, and executes data create and change requests in data hub in an accurate and timely manner.
Identifies master data exceptions, and further analyze and resolve exceptions with assistance of master data steward.
Conducts data quality audits and compiles issues and impacts for review and action with business.
Performs basic statistical and relational analysis of large data sets to identify and correct inconsistencies.
Executes data cleansing, data enrichment and testing cycles for ERP upgrades and projects.
Participates in governance projects to identify and implement process improvements and increase efficiency.
Enforces data standards to achieve continued data cleanliness.
Qualifications:
Bachelor’s Degree is required
Technology or Business degree is preferred
1 year of knowledge of computer system applications: Microsoft Office (E-mail, Excel and Word), Oracle ERP is required; 2 years preferred.
1 year of knowledge of data domain and business operations is required: 2 years preferred.
1 year of skills with data handling and manipulation is preferred.
1 year of experience with master data management and data tools is preferred.
Able to work independently as well as in a team environment.
Strong written, oral communication, and interpersonal skills with a positive disposition.
Strong attention to detail with a passion for accuracy.
Reliable with strong organizational skills and solution-oriented philosophy.
Ability to prioritize tasks and demonstrate a willingness to accept new challenges.
Willingness to accommodate temporary working hour changes as required by workflow and deadlines.
Ability to work effectively with all levels of management to accomplish goals and objectives preferred.
Knowledge of project planning and LEAN process improvement preferred
Wesco International, Inc., including its subsidiaries and affiliates (""Wesco"") provides equal employment opportunities to all employees and applicants for employment. Employment decisions are made without regard to race, religion, color, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, or other characteristics protected by law. US applicants only, we are an Equal Opportunity and Affirmative Action Employer.",Bengaluru,836660.0,/yr (est.),10000+ Employees,1922,Company - Public,Wholesale,Retail & Wholesale,$10+ billion (USD),3.5,3.4,3.6,3.3,3.8
Pratt & Whitney,Business intelligence and data analytics (PBI & RPA),3.8,"Date Posted:
2023-09-09
Country:
India
Location:
North Gate Business Park Sy.No 2/1, and Sy.No 2/2, KIAL Road, Venkatala Village, Chowdeshwari Layout, Yelahanka, Bangalore, Karnataka 560064
Position Role Type:
Unspecified
Business intelligence and data analytics (PBI & RPA)
Roles & Responsibilities:
Develop reports and dashboards in Power BI Desktop and Report Server using multiple data sources (SharePoint, SQL Server, Excel, SAP BW, etc.) ensuring they are built to specifications.
Working experience in Robotic Process Automation – Blue Prism, Uipath, Power Automate etc.,
Proficiency in RPA automation based on Mainframe, Microsoft Office Applications, Web and Desktop Applications.
Translate customer needs into clear requirements and meaningful reports by leveraging business intelligence infrastructure to transform raw data into meaningful and intuitive visualizations
Ensure data integrity of key objects (e.g. Product and Account) and other supporting information through best practices and standard data integration.
Participate in process improvement initiatives by sourcing required data and providing support to the team as required
Interpret and effectively communicate data insights
Maintenance and continuous improvement of existing dashboards
Assist with data mining
Qualification / Technical experience:
University or College Degree in Business, Mathematics, Computer Science or Info Management
Experience in deploying projects in operations and supply chain areas
Data modeling/visualization experience with PowerBI Desktop and Report Server
Experience in data modeling, visualizing and presenting data using PowerBI Desktop and Report Server
Advanced analysis skills with particular attention to detail
Working experience with DAX, Power Query, SAP, SharePoint, SQL
Strong MS Excel skills
Understanding of security as it pertains to data access, scope, and distribution of reports and dashboards
Experience of working under dynamic and uncertain business conditions
Other Skills:
Analytical thinking
Adaptability
Business judgment
Focus on results
Teamwork
Work Location:
Bangalore, India
Employment Type:
Full-time
RTX is An Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status, age or any other federally protected class.
Privacy Policy and Terms:
Click on this link to read the Policy and Terms",Bengaluru,539530.5,/yr (est.),10000+ Employees,1925,Subsidiary or Business Segment,Aerospace & Defence,Aerospace & Defence,$10+ billion (USD),3.7,3.6,3.5,3.2,3.5
nurture.farm,Data Analyst,4.8,"Job Description
Gather user requirements for new reports and enhance existing reports. Interpret needs and design reports to meet end user expectations.
Support strategic decision making through a deep understanding of the business supported by descriptive analysis, proof-of-concept curation, and effective prioritization
Dashboard development and generation for daily, weekly, monthly and all reporting needs
Design and develop complex and optimized data queries to move and transform data from operational data sources to analytical databases
Test all new reports/deliverables and periodically review them for quality control
Job Requirement
Technical capabilities:
SQL - Advanced : should be able to build complex and optimized queries
Excel - Advanced : Comfortable with advanced functions
BI Tools : Good hands on any BI tool (Power BI , Tableau, Quicksight etc)
Scripting Languages : Basic understanding of scripting languages like R , Python etc.
Statistics : Basic knowledge on stats and their applications within analytics.
Strong logical & analytical concepts in databases, schema.
Required abilities / competencies:
Attention to detail and strong data orientation
Ability to adapt to and learn new tools/ techniques quickly
Very good written and verbal communication skills
Strong rigor in automating repetitive tasks
Work ex: 3+ Years of experience in relevant role",Bengaluru,494975.0,/yr (est.),1 to 50 Employees,2016,Private Practice / Firm,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.6,3.9,4.8,4.4,4.3
UBS,Data Analyst,3.9,"India
Business development, Business management, administration and support, Risk
Group Functions
Job Reference #
284924BR
City
Hyderabad
Job Type
Full Time
Your role
Do you have strong analytical skills? Are you familiar with statistical concepts and able to transform data into bespoke content? Do you want to help us expand our data platform?

We’re looking for a data analyst to:

provide analytics and reporting support on a broad range of risk and operational data for our business and senior management
assess and enhance the data collection procedure and automate reporting processes using SQL, VBA
Transform, visualize data and create dashboards using Excel, Alteryx, Power BI & Tableau
run the necessary operational and data governance services required for data integrity
enhance existing data repository to ensure stakeholders’ efficient access to data
research and explore new data sources and analytics tools to continuously enhance our solutions
Your team
You’ll be working in the Metrics and Reporting team in Hyderabad. Our team works closely with our business stakeholders, Automation and IT teams to support the availability and analytics of high quality operational and business data. As a data analyst, you'll play an important role in assessing the business and operational risks and overseeing the reporting of issues and their sustainable remediation.
Your expertise
ideally 2-3 years’ relevant experience of working in data analysis in financial services, data operations, data platforms
strong analytical and coding skills, familiar with programming languages such as Python
interested in digitalization and have an affinity with technology like Power BI, Alteryx Tableau, SQL, Data science skills
bachelor’s/master’s degree in finance, business administration or related field
Hand on experience in verifying data accuracy, using statistical tools to analyze complex data to interpret trends and patterns and creating data systems and reports for management.
inquisitive, able to challenge effectively and manage conflicting stakeholder needs
self-driven and focused on the details, with a good understanding of the banking industry
strong communicator, with a collaborative personality and the ability to complete tasks independently
How we hire
This role requires an assessment on application. Learn more about how we hire: www.ubs.com/global/en/careers/experienced-professionals.html",Hyderābād,727518.0,/yr (est.),10000+ Employees,1862,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),3.6,3.5,3.9,3.5,3.8
JPMorgan Chase & Co,Client Data Analyst,4.0,"JOB DESCRIPTION

The Corporate KYC Operations works closely with the Lines of Business (LOBs) to implement and operate a sustainable and scalable operational process supporting clients along the Know Your Customer (KYC) lifecycle. This includes functions such as data collection, completion of the KYC profile, client screening, targeted local language and English language research, comparing and analyzing client profiles across all lines of business and quality assurance. This team will also produce metrics around the work they perform.
As a Client Data Analyst, you will partner with the client-facing teams to ensure all client KYC records are compliant with regulatory standards in a timely fashion. In addition, you will validate all documentation provided in the end to end operational KYC activities of new clients and subsequent periodic renewal process of all clients ensuring a high quality product.
You will review the collection and verification of data performed by the KYC Operations Analyst to ensure all KYC records are accurate and complete prior to a final review by the client-facing team. The KYC Operations Reviewer is expected to stay current with all regulatory changes and requirements around client KYC, Suitability and Documentation.
Job Responsibilities:
Understanding and implementation of KYC standards, guidelines, policies and procedures
Handling and maintenance of confidential client documentation
Collection and verification of confidential client data via publically available and internal sources
Understand the firm’s KYC requirements when completing documentation inclusive of Customer Identification Program (CIP), Minimum Due Diligence (MDD), Enhanced Due Diligence (EDD), Local Due Diligence (LDD),Specialized Due Diligence(SpDD) and Product Due Diligence requirements (PDD)
Compare and contrast differences within KYC records , highlight and escalate any discrepancies
Review of client data/processes to meet firm wide quality standards
Communicating/escalating issues to management when applicable
Required Qualifications, Skills and Capabilities:
Bachelor’s Degree and/or Graduate Degree
Knowledge of KYC is essential with at least 5-10 years’ experience (Audit, Control, Risk, AML, and Research may also be areas of experience)
Must be able to work and contribute effectively in stressful situation
Strong research, analytical and comprehension skills, with ability to analyze large amounts of data
Client focused with strong customer service skills (e.g. oral and written communication skills)
Ability to multi-task and meet deadlines against a high volume work schedule
Experience adhering to controls and compliance standard
Preferred Qualifications, Skills and Capabilities:
Possess strong computer skills: Microsoft Office Suite including Excel, Word and PowerPoint
Must be detailed oriented and analytical with a strong sense of ownership and responsibility
Ability to work both independently and as a team in a fast paced production environment
Drives results through leadership, people, communication and influence
ABOUT US

JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world’s most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.

We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants’ and employees’ religious practices and beliefs, as well as any mental health or physical disability needs.



ABOUT THE TEAM
Commercial Banking is focused on helping our clients succeed and making a positive difference in our communities. We provide credit and financing, treasury and payment services, international banking and real estate services to clients including corporations, municipalities, institutions, real estate investors and owners, and nonprofit organizations.


Operations teams develop and manage innovative, secure service solutions to meet clients’ needs globally. Developing and using the latest technology, teams work to deliver industry-leading capabilities to our clients and customers, making it easy and convenient to do business with the firm. Teams also drive growth by refining technology-driven customer and client experiences that put users first, providing an unparalleled experience.",Hyderābād,640045.0,/yr (est.),10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD),4.0,3.9,3.9,3.6,3.7
McBird Technologies Pvt Ltd,Power BI Developer,5.0,"Job Description:
Bachelor's degree in Computer Science, Information Technology, or a related field.
Minimum of 4 years of hands-on experience as a Power BI Developer, with a focus on data visualization and analytics.
Proficiency in Power BI, DAX, and M language.
Strong SQL skills for data manipulation and extraction.
Hands-on experience with Python scripting for data analysis and visualization.
Familiarity with statistical analysis, machine learning, and predictive modeling.
Excellent communication and collaboration skills
Job Type: Full-time
Salary: ₹257,522.26 - ₹1,319,433.90 per year
Benefits:
Work from home
Schedule:
Day shift
Supplemental pay types:
Performance bonus
Experience:
Python Scripting: 2 years (Required)
Power BI: 3 years (Required)
SQL: 2 years (Required)
Work Location: Remote",Remote,539530.5,/yr (est.),51 to 200 Employees,2018,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,5.0,4.7,4.8,5.0,5.0
Sanfoundry,Data Scientist,4.0,"Job Code: Data-Scientist-240111

Location: Gurugram
Experience: Fresher-Mid Level
Date Posted: 2023-12-28
Valid Through: 2024-01-28

Job Description:
As a Data Scientist in ReD, you will be responsible for providing simple and intuitive solutions to the most complex problems in renewables industry. This will involve building machine learning and deep learning models which are coupled with contextual business knowledge. You will work with a world class team of site managers, subject experts, data engineers and data scientists to build the next generation data-driven renewable company.

Further Responsibilities Will Include
Implement data science solutions which may involve machine learning or data science techniques to increase and optimize outputs
Acquire extensive knowledge of renewables industry practices and implement tailor made techniques to solve problems relevant to the same
Assess the effectiveness and accuracy of data sources and data gathering techniques
Work closely with business and site teams to identify opportunities for leveraging data to drive business solutions
Create data trails to monitor pre-define KRAs and work relentlessly to improve them
Our Ideal Candidate
Good programming and logical skills
Working knowledge of R or Python programming language. Exposure to distributed and cloud computing is a plus
Knowledge of statistical approaches, incl. advanced machine learning techniques (e.g. Support Vector Machines, Machine Learning, Linear models, decision trees and forests, boosting, multivariate analysis, stochastic models, and sampling methods) and/or optimization
Excellent verbal and written communication skills
Ability to learn and implement new technologies quickly
Ability to uncover data trends to gain insights about expected behaviour and perform actions accordingly (prescriptive analytics)
Strong critical thinking and problem solving skills with an analytical mind-set and go-getter attitude
Programming Skills
Basic knowledge of at least 1 programming language - Python or R
Algorithms - Theoretical knowledge of at least 3-4 algorithms
Hands on implementation - Developed at least 1-2 models
Functional/ Domain Expertise
Worked for at least 2+ years as part of an analytics team responsible for model building and deployment
Basic level of articulation of theoretical concepts
Ability to communicate with cross functional roles is a plus
Teamwork
Displays ability to work both as an individual and as a self-motivated team player
Has worked in large teams with an agile setup in the past",Gurgaon,469574.0,/yr (est.),1 to 50 Employees,1995,Self-employed,Colleges & Universities,Education,Unknown / Non-Applicable,4.5,4.3,4.6,4.7,4.6
ABB,Junior Data Analyst,4.0,"Junior Data Analyst
Take your next career step at ABB with a global team that is energizing the transformation of society and industry to achieve a more productive, sustainable future. At ABB, we have the clear goal of driving diversity and inclusion across all dimensions: gender, LGBTQ+, abilities, ethnicity and generations. Together, we are embarking on a journey where each and every one of us, individually and collectively, welcomes and celebrates individual differences.

You will be working as Junior Data Analyst and will be part of Process Automation Business Area for Measurement and Analytics division based in Bangalore, India. In this role you will be reporting to COE Data Management and Analytics Manager and will be responsible for performing data analytics activities and developing analytical solutions to enable business in strategy development for existing and potential products, systems or services.
Your responsibilities
Using data systems to help gather, measure, organize and analyze data, providing sound market and competitive intelligence analysis related to market and trends
Preparing analysis of internal sales, technical and financial data, interprets resulting data using statistical tools and making recommendations to Sales, Marketing, Finance and Product Management
Making diagnostic and predictive recommendations to management of existing gaps and new opportunities for growth, identifying global trends and patterns across various dimensions
Extracting and analyzing data from sales or financial tools and preparing reports for management to give insights on trends, patterns and predictions across geographies
Assisting in the development of analytical tools and solutions to support management to drive key business decisions. Training business stakeholders on proper usage of dashboards and monitors on-going data quality
Your background
B.E or B. Tech or BCA or Bachelor's in Data Science
Minimum 1 to 2 years of experience in Data Analytics and visualization
Hands on experience in Basic or Advanced Excel, Basic Statistics, ETL tools, Power BI(Basic),Basic SQL,ML and Python
Ability to adapt, problem solving skills and give recommendations to stakeholders
Effective time management while handling business critical tasks
Good teamwork and collaboration with cross functional teams to meet business deliverables
Good communication skills
More about us
ABB's Measurement & Analytics division is among the world's leading manufacturers and suppliers of smart instrumentation and analyzers. With thousands of experts around the world and high-performance digital technology, ABB's team is dedicated to making measurement easy for its industrial and energy customers to let them operate more efficiently and profitably. We look forward to receiving your application (documents submitted in English are appreciated). If you want to discover more about ABB, take another look at our website www.abb.com. It has come to our attention that the name of ABB is being used for asking candidates to make payments for job opportunities (interviews, offers). Please be advised that ABB makes no such requests. All our open positions are made available on our career portal for all fitting the criteria to apply. ABB does not charge any fee whatsoever for recruitment process. Please do not make payments to any individuals / entities in connection to recruitment with ABB, even if is claimed that the money is refundable. ABB is not liable for such transactions. For current open positions you can visit our career website https://global.abb/group/en/careers and apply. Please refer to detailed recruitment fraud caution notice using the link https://global.abb/group/en/careers/how-to-apply/fraud-warning Work model: on site #LI-onsite",Bengaluru,325236.0,/yr (est.),10000+ Employees,1883,Company - Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD),3.7,3.6,4.0,3.5,3.9
Global WeConnect Technologies,Snowflake Data Engineer,4.8,"Job Description:
Snowflake SQL – Writing SQL queries against Snowflake Developing scripts Unix, Python etc. to do Extract, Load and Transform data
Qualifications:
Must have good knowledge of architecting and implementing very large-scale data intelligence solutions around Snowflake Data Warehouse.
Minimum 3 years’ experience in Snowflake. Hands-on experience with Snowflake utilities such as SnowSQL, SnowPipe, Python, Tasks, Streams, Time travel, Optimizer, Metadata Manager, data sharing, and stored procedures.
In-depth understanding of Data Warehouse/ODS, ETL concept and modeling structure principles• Experience in Data warehousing – OLTP, OLAP, Dimensions, Facts and Data modeling.
Experience gathering and analyzing system requirements
Good working knowledge of any ETL tool (such as Talend, Informatica and SSIS)
Good to have familiarity with data visualization tools (Tableau/Power BI)
Proven analytical skills and Problem-solving attitude
Ability to effectively function in a cross-team’s environment
Good to have exposure to AWS / Azure Data pipeline eco-system
Experience in implementing solutions for Retail, Finance, Insurance and Healthcare domains",Bengaluru,591608.0,/yr (est.),1 to 50 Employees,2020,Company - Private,Information Technology Support Services,Information Technology,Less than $1 million (USD),4.6,4.4,4.4,4.6,4.2
Wells Fargo,Data Science Consultant,3.6,"About this role:

Wells Fargo is seeking a Data Science Consultant...

In this role, you will:

End-to-End model monitoring of fraud models

Support annual model review and (re)validation efforts.

Support model implementation, monitoring, and documentation

Provide analytical support for different types of fraud identification and prevention strategies.

Perform ad-hoc analysis to understand portfolio trends and develop actionable solutions.

Support analysis and development of strategies, methods, and other fraud- related projects

Establish mechanisms to manage and mitigate fraud risks for all portfolios.

Participate in low to moderately complex initiatives by utilizing data-driven, advanced analytical and statistical techniques to identify trends, diagnose problems, and build actionable insights or recommendations

Review and analyze business, operational, technical assignments, or challenges that require research, evaluation, and selection of alternatives to convert data into meaningful insights and recommendations

Exercise independent judgment to guide medium risk business hypothesis generation

Present recommendations and insights for resolving low to moderately complex business needs and problems; exercise independent judgment while developing an expertise in analytic capabilities

Collaborate and consult with functional colleagues, internal partners, and stakeholders to drive recommendations and strategies based on data-driven analytical insights, trends, and patterns

Conduct low to moderately complex predictive analytics to build actionable insights and recommendations

Design and apply algorithms to mine large sets of structured and unstructured data from various sources

Interpret and analyze data, using advanced analytics modeling methods and programming, to isolate patterns that lead to recommendations to solve problems and influence business decisions and strategies

Required Qualifications:

4+ years of experience in one or a combination of the following: reporting, analytics, or predictive modeling with at least one year of modelling experience or theoretical knowledge

BS/BTech degree or higher in a quantitative field such as applied math, statistics, engineering, physics

Strong analytical skills with high attention to detail and accuracy

Model development or model monitoring experience

2+ years of SAS (e.g. Enterprise Guide or Enterprise Miner or Base SAS) and/or Python or R experience

Demonstrated experience with statistical modelling techniques and AI-ML techniques.

Ability to create documentation of process flows, business analysis and metadata.

Experience in Financial services or knowledge of consumer/retail financial products

Experience in data science, or equivalent demonstrated through one or a combination of the following: work experience, training, military experience, education

Desired Qualifications:

Knowledge and understanding of banking industry.

Strong analytical skills with high attention to detail and accuracy

Dedicated, enthusiastic, self-driven and performance-oriented and capable of handling multiple projects simultaneously.

Possesses a strong work ethic and thrives in a collaborative team environment.

Excellent verbal, written, and interpersonal communication skills and demonstratable presentation skills.

Engage with cross culture team members and stake holders.

Experience working on BI Tools like QlikView or Tableau

Experience with MS Office Suite (PowerPoint, Excel, Word)

Job Expectations:

Support annual model review and (re)validation efforts.

Support model implementation, monitoring, and documentation

Provide analytical support for different types of fraud identification and prevention strategies.

Perform ad-hoc analysis to understand portfolio trends and develop actionable solutions.

Support analysis and development of strategies, methods, and other fraud- related projects

Establish mechanisms to manage and mitigate fraud risks for all portfolios.

Ensure data completeness, accuracy, and uniformity through cleaning and validation

Posting End Date:

*Job posting may come down early due to volume of applicants.

We Value Diversity

At Wells Fargo, we believe in diversity, equity and inclusion in the workplace; accordingly, we welcome applications for employment from all qualified candidates, regardless of race, color, gender, national origin, religion, age, sexual orientation, gender identity, gender expression, genetic information, individuals with disabilities, pregnancy, marital status, status as a protected veteran or any other status protected by applicable law.

Employees support our focus on building strong customer relationships balanced with a strong risk mitigating and compliance-driven culture which firmly establishes those disciplines as critical to the success of our customers and company. They are accountable for execution of all applicable risk programs (Credit, Market, Financial Crimes, Operational, Regulatory Compliance), which includes effectively following and adhering to applicable Wells Fargo policies and procedures, appropriately fulfilling risk and compliance obligations, timely and effective escalation and remediation of issues, and making sound risk decisions. There is emphasis on proactive monitoring, governance, risk identification and escalation, as well as making sound risk decisions commensurate with the business unit's risk appetite and all risk and compliance program requirements.

Candidates applying to job openings posted in US: All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, status as a protected veteran, or any other legally protected characteristic.

Candidates applying to job openings posted in Canada: Applications for employment are encouraged from all qualified candidates, including women, persons with disabilities, aboriginal peoples and visible minorities. Accommodation for applicants with disabilities is available upon request in connection with the recruitment process.

Applicants with Disabilities

To request a medical accommodation during the application or interview process, visit Disability Inclusion at Wells Fargo .

Drug and Alcohol Policy

Wells Fargo maintains a drug free workplace. Please see our Drug and Alcohol Policy to learn more.",Bengaluru,539530.5,/yr (est.),10000+ Employees,1852,Company - Public,Banking & Lending,Finance,$10+ billion (USD),3.5,3.7,3.5,3.1,3.6
NISC Export Services,Data Mapping,3.6,"Job title
Data Analyst
Reports To Team Leader - Data Mapping

Job Purpose

Match & Map field data between two databases (one of which is XML) mostly related to Published
literature.

Duties and Responsibilities

Primary responsibility of the candidate includes:
Mapping input files against EPMARC XML Schema document
Running scripts and batch files
Work as part of a team, as well as independently
Ability to absorb & note information in meetings/training
Experience of working to tight schedules in a daily or weekly content publishing environment

Qualifications

Education:

A Degree in any discipline.
Candidates with a degree in Library Science are preferred.

Skills & Abilities
Sound knowledge of XML
Good analytical skills
Hands on experience in Regular Expressions
Knowledge in Microsoft Visual Studio/Notepad++
Exposure to MARC Catalogs is desirable

Experience
1+ years in content management projects

Working Conditions

Work Location: NES Office, Hyderabad
Work Timings: 9:00 AM to 06:30 PM
Work Days: 5 Days a week",Hyderābād,539530.5,/yr (est.),201 to 500 Employees,1995,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.0,3.1,3.1,3.4,3.8
Victoria's Secret,Data Scientist,3.5,"Description
Data Science & Analytics Position: Data Scientist

Position Overview
DS&A team is responsible for managing customer data, statistical modeling and advanced analytics requests from Victoria’s Secret. The Data Scientist will be responsible to analyze and model structured data using advanced statistical methods and implement algorithms and software needed to develop solutions to business questions and present findings with actionable recommendations. This position will report directly to – Director-Data Science & Analytics.

Specific Responsibilities
Use various statistical techniques like but not limited to predictive modeling, customer profiling, segmentation, data mining etc. to provide relevant & accurate insights
Execute predictive model scorings in order to support various customer marketing initiatives.
Query structured & unstructured data (from hybrid sources & platforms) and perform exploratory data analysis for further advanced modeling
Present ideas and findings with actionable recommendations in an easily consumable manner.
Participate in peer reviews of projects
Stay current with business results, strategies, industry standards and best practices.

VS&Co provides a range of compensation for this role as shown. Your actual salary will be determined by a number of factors, including: your specific skills and experience, geographic region, or other relevant factors.
Qualifications
Qualifications
M.S. in Statistics/Mathematics &/or computer science with 2+ years of experience in statistical/quantitative analysis.

Skills/Experience

2+ years of experience in customer / marketing analytics role preferably in retail domain
Expert level proficiency in Python, Advanced SQL, SAS (Base SAS, Enterprise Guide, Enterprise Miner), R.
Experience in working with large relational databases (Teradata).
Working knowledge of Snowflake is preferred.
In-depth knowledge of statistical procedures that are applied in segmentation, profiling, and data mining. Prior experience in machine learning techniques will be preferred.
Experience in Excel and PowerPoint. Ability to automate insights / reports using Macros (SAS and Excel VBA) & other relevant technologies
Ability to understand business needs to generate relevant accurate insights or translate business needs into analytical specifications
Demonstrated analytical & problem-solving skills, ability to interpret reports, analyze trends and provide insights
Strong written and verbal communication skills. Demonstrated ability to communicate complicated statistical analytical concepts to business stakeholders in a simplified comprehendible manner.
Highly energized personality with a positive attitude and ability to work with minimal supervision, prioritize, multitask and work under tight timelines",Bengaluru,266222.0,/yr (est.),10000+ Employees,2021,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$5 to $10 billion (USD),3.2,3.3,3.4,3.1,3.1
